,gpwr,in-hand delta,game-weighted in-hand delta,distance-one delta,gihwr,gnswr,cs bias,cs var,cs mean,deck gihwr,deck gnswr,deck ihd form,deck ihd meas,deck ihdd
Connecting the Dots,0.5126127154434426,-0.051008376305560765,-0.0602177635704047,-0.03405551359867509,0.4616043391378818,0.5466818786841605,-0.0010868300490352344,12.386778762063734,16.077666470241603,0.5115498196893545,0.5133271620254615,-0.0008373306781976071,-0.0010628957540880224,0.00022556507589041532
Consign // Oblivion,0.5479134466769706,0.03418835956276667,0.01854882007136205,0.005810620412105338,0.5821018062397373,0.5175182481751824,0.01411522542787741,18.254078483177764,18.039874902267396,0.5621920390762244,0.5361880299778333,0.01428282813290661,0.014278592399253776,4.235733652834667e-06
Conspiracy Unraveler,0.5067024128686327,0.001081130496823235,-0.018085946742281978,-0.03510133142049621,0.507783543365456,0.5045592705167173,0.013825897585291302,16.590158182094072,17.540439932318105,0.519836416450084,0.49644945697577275,0.013076857184567869,0.013134003581451337,-5.714639688346804e-05
Convenient Target,0.5384569234461243,-0.017829472465732077,-0.01753925199604489,-0.009797767849098138,0.5206274509803922,0.5492041925465838,-0.006690840482578001,11.590820989769979,15.83451968503937,0.5335103457431677,0.5416921989158614,-0.004897675196169044,-0.004946577702956589,4.890250678754506e-05
Cornered Crook,0.5374138550478492,0.002586144952150815,-0.0028821018775258,-0.008742083924479616,0.54,0.5357301375943186,0.0017906689039850407,15.69947959557811,16.951334606102087,0.5394783438803947,0.5358925775488439,0.0016584281163578407,0.002064488832545508,-0.0004060607161876673
Coveted Falcon,0.5238123981408824,-0.004861168688362394,-0.02276429188287743,-0.019447259560753105,0.51895122945252,0.5275847089487402,0.010180430430004514,18.330955816092295,17.872421939850586,0.5340956263774093,0.5154961638294562,0.010441618994295876,0.010283228236526831,0.000158390757769045
Crashing Footfalls,0.5689061154177433,0.06975785219359276,0.07782932150489819,0.022847027623861815,0.638663967611336,0.5176029962546816,0.0018963379991450357,12.938826049891016,16.341410644742535,0.5703178535659691,0.5679311223561105,0.0015014852778716507,0.0014117381482258162,8.974712964583448e-05
Crime Novelist,0.5092618191871717,-0.014935041577489427,-0.02985983577070961,-0.0348399992469175,0.4943267776096823,0.5209686946249261,0.007217430157377065,17.71713222026744,17.4786213199295,0.5179891727597481,0.5024480783385068,0.007315918232234515,0.008727353572576368,-0.0014114353403418536
Crimestopper Sprite,0.5350874625613409,0.0027559394708465135,-0.003175857771215096,-0.009482079002261945,0.5378434020321874,0.532928806821154,0.004214541082303884,16.638220546687876,17.4905169874627,0.5386692072035865,0.5323216662250636,0.0040091704596675335,0.003581744642245588,0.0004274258174219456
Crowd-Control Warden,0.546210154334343,-0.004917455809633431,-0.005789560102367308,-0.002341049957649166,0.5412926985247095,0.5496594908359614,-0.0022910897193835177,11.451734778081,16.171725302120713,0.5443124073622814,0.5474924959175073,-0.0016223965797716976,-0.0018977469720615758,0.00027535039228987826
Cryptex,0.5022660623833645,0.019555569495193437,-0.006467203485220896,-0.03796209486647384,0.5218216318785579,0.4880184331797235,0.020991356845513277,16.654663232549105,17.381872618399566,0.5223473112672168,0.48683435091110533,0.020113136641342944,0.02008124888385232,3.1887757490623586e-05
Cryptic Coat,0.5712855092298962,0.053825404700893476,0.054326331931401683,0.025874336467939907,0.6251109139307897,0.5270968919165501,0.0031031283471778235,13.984319370405357,16.89876899800564,0.573671502357251,0.5695409588807568,0.002567946686496171,0.0023859931273547685,0.00018195355914140234
Culvert Ambusher,0.5344535301156761,-0.009089904679926653,-0.017255433484828386,-0.011127309308151978,0.5253636254357494,0.5409249638020611,0.005945656343121144,12.347046747661734,16.433645472166862,0.5392518344531235,0.5311086618970455,0.00446713402320761,0.004798304337447434,-0.0003311703142398247
Curious Cadaver,0.5009418670872213,0.006211709701172907,-0.021208289410296233,-0.037782319128539354,0.5071535767883942,0.4961861768368618,0.02182529191056836,17.691419515660602,17.79841650171893,0.523115816629209,0.4831693443531824,0.021694086954551713,0.022173949541987703,-0.0004798625874359898
Curious Inquiry,0.5026076285918806,0.001257445195891771,-0.004736975988194003,-0.039951864056842035,0.5038650737877723,0.5017238250771184,0.0045254989802262415,16.96895431900787,17.461981316532697,0.5070675210618577,0.49915907720623237,0.004397724638123943,0.004459892469977134,-6.216783185319062e-05
Deadly Complication,0.53058769088385,0.006564700662312406,0.003427943259054378,-0.010629445605618737,0.5371523915461625,0.5258654836409729,0.004107387419406949,13.82849624834837,16.681024182076815,0.5336797360000223,0.5283840199087384,0.003405006245408531,0.003092045116172226,0.00031296112923630487
Deadly Cover-Up,0.5499514091350826,0.04096779852127175,0.03054571346859636,0.00917081857054003,0.5909192076563543,0.5180110306790762,0.011234177135606375,16.414644191744788,17.660829824381228,0.5607025289174059,0.5414196477788453,0.010441469755483258,0.010751119782323348,-0.00030965002684009077
Deduce,0.5453652145430724,0.005104748677197346,-0.005291591020657349,0.0007757213403395413,0.5504699632202698,0.5411065770523283,0.0065100385492428536,18.64384298936018,18.071958952110794,0.5523937207459003,0.539515793064025,0.006716047601059303,0.007028506202827911,-0.00031245860176860787
Defenestrated Phantom,0.5334405501330968,-0.012139395883359105,-0.0119905241090974,-0.015325292668290524,0.5213011542497377,0.5415232061699491,-0.00598922179972822,11.616828141465172,16.06657027910485,0.5292449081831845,0.536252590628582,-0.004330467494922998,-0.004195641949912288,-0.00013482554501071005
"Delney, Streetwise Lookout",0.5186527891474682,-0.011410449314599114,-0.007592675198548782,-0.028774641685218594,0.507242339832869,0.5269943593875906,-0.0050862752598300484,12.164035811945878,16.17965496728138,0.5145374258313037,0.5214485965248217,-0.0038239155615555635,-0.0041153633161644665,0.00029144775460890294
